,5 FLUOROURACIL 84 ugmL,A baumannii 5075,ACTINOMYCIN D 4 ugmL,ACTINOMYCIN D 6 ugmL,ADRIAMYCIN 6 ugmL,AZITHROMYCIN 0.4 ugmL,BENZAKONIUM CHLORIDE 20 ugmL,BENZAKONIUM CHLORIDE 40 ugmL,BLEOMYCIN 1.5 ugmL,BLEOMYCIN 3 ugmL,BLOOD AGAR 1,CAMP 0.2 uM,CCCP 0.05 ugmL,CCCP 0.075 ugmL,CEFSULODIN 3 ugmL,CEFSULODIN 6 ugmL,CHLORHEXIDINE 4 ugmL,CHLORHEXIDINE 7 ugmL,CIPROFLOXACIN 0.00025 ugmL,COPPER SULPHATE 20 ugmL,COPPER SULPHATE 50 ugmL,CYCLIC DI GMP 1 uM,DIBUCAINE 0.25 ugmL,DIMETHYL FUMARATE 0.6 ugmL,DMSO 2.5 ugmL,DMSO 5 ugmL,EDTA 1 mM,EGCG 120 ugmL,EGCG 75 ugmL,EGLA WATER DISINFECTANT 1.5 ugmL,EGLA WATER DISINFECTANT 2.5 ugmL,FOSFOMYCIN 25 ugmL,FOSFOMYCIN 45 ugmL,GENTAMYCIN 5 ugmL,GLYCOLIC ACID 0.25 ugmL,GLYCOLIC ACID 0.75,HYDROGEN PEROXIDE 1.8 mM,IMIDAZOLE 12 ugmL,IMIDAZOLE 24 ugmL,ISOPROPANOL 5 ugmL,K pneumoniae MKP 103,LOPERAMIDE 60 ugmL,LOPERAMIDE 80 ugmL,LYSOZYME 120 ugmL,M9 A KETOGLUTARATE 1,M9 GLYCEROL 1,M9 PROLINE 1,M9 PYRUVATE 1,MAGNESIUM CHLORIDE 10 mgmL,MAGNESIUM CHLORIDE 5 mgmL,METFORMIN 10 ugmL,METFORMIN 8 ugmL,METHOTREXATE 60 ugmL,MMS 1,MMS 1.5,N HEXANOYL L HOMOSERINE LACTONE 200 ugmL,NIGERICIN 200 ugmL,NO SALT LB with SUCROSE 0 mM,P aeruginosa 1,PROCAINE 1 ugmL,PROCAINE 1.5 ugmL,RIFAMPICIN 0.2 ugmL,SALT 0 mM,SDS 0.25,SODIUM BUTYRATE 50 ugmL,SODIUM BUTYRATE 70 ugmL,SODIUM CHOLATE 100 ugmL,SODIUM DEOXYCHOLATE 105 ugmL,SODIUM DEOXYCHOLATE 90 ugmL,SODIUM HYPOCHLORITE 0.75,SODIUM TAUROCHOLATE 40 ugmL,SODIUM TAUROCHOLATE 60 ugmL,SPECTINOMYCIN 12 ugmL,SPECTINOMYCIN 9 ugmL,STREPTOMYCIN 3 ugmL,STREPTOMYCIN 8 ugmL,TEMPERATURE 18,TEMPERATURE 25,TEMPERATURE 30,TRICLOSAN 70 ugmL,TRICLOSAN 90 ugmL,UREA 800 ugmL,UV 0.07 Joules,UV 0.1 Joules,UV 0.2 Joules,UV 0.5 Joules,V cholerae C 7606,VANILLIN AZITHROMYCIN 1,VANILLIN CIPROFLOXACIN 1,ZINC SULPHATE 150 ugmL,pH 6
"VC1277 transcriptional regulator, LuxR family  Regulatory functions",0.137814717,0.401301725,-0.911802779,-1.739520081,0.946330749,-0.261002842,0.295359455,0.690561148,0.738461063,1.159642433,-0.470771832,-3.170951025,0.984266449,1.731127185,-1.508670769,0.363611583,-0.427920838,-1.558128843,-2.08560804,-1.167744583,-1.296616255,-1.736573249,0.651202098,-2.020162632,-1.040605403,-0.653659945,0.426180812,-1.156628486,-1.385914262,-0.083357239,-0.929690519,-0.144998037,1.405791951,-1.068896236,-1.054761158,0.996854286,1.70112981,-1.472448087,-1.282959254,1.142637929,-0.064486921,0.479432227,-0.335206684,0.489424428,1.476200192,0.495099888,0.435416967,-1.150926376,-1.608232847,-0.017840194,-0.639660172,-0.884819587,-0.660621733,-0.644349346,-2.076311789,-0.091144757,-1.047903561,-0.188809339,-1.183484304,2.027150441,0.511943528,1.182462183,-0.798464022,1.755032365,1.583604107,2.166278492,0.335559402,-0.029064959,1.078052435,0.309176974,-1.190034114,-0.015844875,0.428507863,-1.232783857,-0.255164333,1.790116533,0.68408917,1.27468029,1.891072932,-1.626328608,0.841834255,0.668132037,2.019048347,0.937176587,-0.381404821,0.119480079,-0.907618021,-0.857630675,0.045761001,-1.398661708,0.907588636
"VC1279 transporter, BCCT family  Transport and binding proteins",1.273741921,4.289596909,-8.906726195,-11.08062618,-10.57572594,-4.258513158,-1.060188313,-2.124936669,-9.822717368,-9.44645763,1.360671001,-1.576841508,-0.561236841,-0.267940701,4.510218865,2.28205682,1.099581233,1.849982582,0.356958383,1.357341965,0.09171319,0.875123037,1.196851073,0.754302579,-1.023520564,-2.91474863,-1.566445389,-7.765270727,-10.87214,1.338718179,0.426733151,-3.242779093,-1.189158251,2.64736748,1.202250665,4.409640621,-6.188970349,3.517232534,-0.386736653,0.615108651,2.315929051,-1.881192547,-3.010813282,-8.16961818,4.504170181,1.110127716,0.881454637,0.728604684,-0.326013949,-1.599617855,-1.984449705,-0.654999779,3.63662512,-11.09165581,-11.35230518,-10.94190807,-1.816832387,1.403667379,3.890570373,-11.05405247,-11.52973111,-3.177843558,2.505751686,-1.969105717,-0.344495209,-0.703624408,0.042674269,-0.308536753,2.177494515,-6.062762642,-1.806970312,-1.907735663,-1.950908148,-0.939697679,-11.18239408,-10.66395859,1.046982778,3.198912897,1.888553615,-0.728947126,-2.754701196,-0.083735697,3.839649728,-0.934044059,4.64509253,6.746665437,1.779396487,,2.496091108,0.529039522,0.692103967
VC1280 hypothetical protein  ,-0.270254762,1.054646251,-1.590311186,2.685692259,-1.490488708,-0.47131795,-3.145944041,-1.998497264,-0.82567155,0.011852815,-1.605008077,-2.451814114,-1.398410583,-1.858622496,0.456406344,1.394977639,0.754472529,0.126004889,0.908577312,0.914283782,2.352949386,-0.793602898,0.966455924,-0.676048141,0.517366707,0.967214569,3.506260957,-0.287726551,-0.192228183,0.619325119,2.156622447,0.512702786,-1.584254242,1.99132916,0.518506033,0.427805245,0.315464384,-1.044541345,0.865554499,2.703061871,0.090678983,-3.436593588,-2.538331847,1.686249942,0.543569794,0.638815179,-0.215913324,1.259080966,0.413785426,-0.456503748,0.180779471,-1.298237908,0.147200554,-0.860846728,0.553116777,1.414625685,1.501656283,-0.518200061,1.816482605,-1.052952476,-0.308281938,-0.66948092,-0.892202139,0.160560722,-0.04053284,-0.395966569,-0.08876963,-0.967287482,-3.271707933,0.039077723,-1.852919105,-0.492262579,1.577441728,-0.380062776,-0.133130259,0.332663574,-2.960538146,-2.286803571,-2.290966039,-0.94389767,1.630674959,-1.079828557,-1.919711719,0.101295196,-0.121415214,1.567522739,0.186738398,0.000699642,1.937548971,-0.707768852,1.821467675
"VC1282 PTS system, cellobiose-specific IIC component celB Transport and binding proteins",0.128985027,-0.094227836,1.620929177,-0.429864425,0.713307316,-1.548454656,0.450621735,1.270616908,0.164667642,0.625614503,-1.020845983,1.284324016,-0.067287874,0.409728294,-1.914489774,0.521233134,0.637394448,0.383192519,-1.192572997,0.692148026,0.148144941,-0.586946139,0.980404415,-0.165716478,0.39876091,1.253978514,-0.527578632,0.77087665,0.261378661,1.803216023,0.089824673,-0.715929498,0.14694684,-0.894785315,-0.180212451,-1.277825313,-0.443488618,-0.035829555,0.41471396,-1.780611791,-0.979468247,0.207995014,0.992215266,0.148417156,-1.228235192,0.275492396,-0.384041955,0.264399036,0.515011679,2.368225018,1.991881934,2.411388366,0.250556657,1.208752756,1.972203389,0.567826653,0.328197716,0.596410119,-0.751018227,-0.577050873,-0.222504651,0.350085767,0.611650206,-0.698916223,-1.364476256,-2.313428797,0.670484324,2.181667035,0.282452965,2.665410186,-0.371970495,0.246404461,-0.721712752,-0.336889368,2.2509277,-0.823124736,-0.65739702,0.186323946,-0.782578844,-1.053507633,0.127693154,2.073213829,-0.939264428,-1.208448208,-0.502093633,-1.795256966,1.372696796,,-0.462072043,0.245572327,1.205508666
"VC1283 PTS system, cellobiose-specific IIA component celC Transport and binding proteins",-0.721863541,-1.97205719,0.220719511,-0.128057297,-1.124785559,-0.870924809,-0.938529643,-1.381878,-0.106533885,1.44638855,-0.6479115,0.549630412,-0.927533827,0.425219753,-0.365013858,0.916516482,0.906384273,0.295338889,-0.003739392,1.83888214,1.238283199,1.357272206,0.339228631,1.571617555,0.580047465,-0.282297952,0.738412198,0.929076913,-0.511964885,1.438038907,1.087583652,0.075688914,-1.140926502,0.902242817,-0.507909844,-0.216763235,-1.173316095,-0.33999426,0.581800561,-0.177668751,-0.061785016,-0.422634873,0.301150739,0.686523098,0.830072852,0.509751547,-0.621826014,0.502923617,0.092382563,0.691632054,0.120045797,-0.697043558,-0.430672951,-1.591156406,0.335838573,0.924596095,0.660641564,0.163185503,0.028718182,0.760587075,-1.002359622,1.668759809,-0.277635581,-1.467899477,0.183275529,-0.635844188,-0.676389212,0.343922804,-1.764489337,0.211683477,-0.036368659,1.500990533,0.755186525,-0.043187141,1.228526323,-0.481378064,-0.648056986,0.685468856,-0.595928226,-1.566577122,-0.585646513,0.251476317,-0.462321521,1.486385791,0.334020038,-0.645897862,0.350447394,,0.384647386,-0.293087973,0.536376334
VC1284 6-phospho-beta-glucosidase celF Energy metabolism,0.497923349,-0.448626639,-0.279895316,-0.968216887,1.727307107,0.277845256,0.172027958,0.953323099,1.178638527,0.695691082,-0.409194305,-0.758819696,-1.109760391,0.993324448,1.4747988,0.220590029,0.397897753,0.179653173,-0.747851715,0.085890386,0.872662829,-0.711734104,2.018102971,1.139360136,-0.707252834,-0.637621435,-0.802793292,0.205273062,-1.187153674,0.284289887,0.035756507,0.433752673,0.18700283,0.254641135,0.687844866,0.164125689,-0.556232375,0.470861906,0.423657031,0.121447338,-1.189656657,0.723337528,2.110994798,0.811071343,-0.148823708,-0.111524176,-0.091045827,0.472432956,0.340803059,0.699898277,1.551852129,1.446766147,1.020343467,-0.416210256,-1.066514142,0.122773212,2.242388822,-0.429643594,0.139427667,0.672433977,0.27431894,0.310260793,0.259569702,0.854941911,0.040726871,-0.743257454,0.351548239,0.003881045,-1.393383868,0.474115865,-1.087193609,-0.086737703,1.131025444,-1.067708706,-0.046549403,0.017299075,-1.701580584,-1.845892139,-0.883592384,-0.157574128,1.860565455,-0.329329007,-1.614278293,-0.195779903,-0.488117932,0.467974206,-0.908760135,,1.134526453,0.216413446,0.183893055
VC1285 conserved hypothetical protein  Hypothetical proteins,0.230817565,-0.687624038,0.909750786,0.493073106,1.039431588,-0.463490457,0.732521808,0.017394801,1.255653521,-0.425571509,-0.573702826,-1.201487676,0.500192488,0.575917942,-0.826232868,0.169220114,-1.623858589,-0.767814246,-1.24774791,-0.041402489,-1.700355601,-0.415319223,-0.122038027,-0.842180698,0.741310188,-1.053355179,-1.663686163,-1.599749484,-0.370169481,-1.211980915,-1.069454822,0.082794225,1.419015061,-2.305048982,0.07962066,1.602372737,0.277706839,0.005234103,1.534253368,0.343766018,-0.422384931,1.048991829,0.978297707,-1.899036222,0.855691568,-1.067952587,-0.045997777,-0.500630691,0.002950932,-0.23218067,0.447002232,1.406490379,0.306184709,2.028704493,1.849784291,2.224031636,0.084977386,0.708016682,-0.00399113,0.464692759,-0.200851494,0.228060396,0.662680529,-0.948750034,0.217599351,-0.781623276,-1.708627696,-0.92083674,0.89513974,2.013589313,1.866180098,1.176860511,-0.783062553,0.718352514,0.06983441,2.723285132,0.124486596,0.036101234,-0.01068668,-0.080435434,-0.32111821,-0.192907574,0.095527042,1.008771579,1.76585737,0.313583418,0.320684956,-0.078293764,-0.420026012,0.596860213,1.144346541
"VC1286 transcriptional regulator, LacI family  Regulatory functions",-0.795846976,-1.233781656,0.839280544,-0.338497873,-1.529901268,-1.138917811,-1.091475692,-1.044017473,0.549844655,0.947886881,-0.506821575,0.645095647,0.769945911,-0.008464401,-0.218549807,1.039901664,0.820961837,-0.630629479,-0.693638062,1.201914115,1.806352262,0.903396524,0.550760502,1.71009839,1.074418042,-1.314902677,0.058235091,0.837839661,-0.346680505,1.841422778,1.111632071,-1.21719561,-0.863654968,-0.46961502,-1.008076884,-0.053425614,-0.08183901,-0.919687568,0.824109669,0.43752829,-0.820865334,0.215559713,0.208701251,1.03682791,0.191160261,-0.532937021,-0.680083967,0.308742274,-0.638989252,1.232763535,-1.043580174,0.417593876,1.187386022,0.563063554,1.605324811,1.356150416,1.435264139,0.138408549,-0.424197242,1.835847615,-0.273188869,0.77759366,-0.505587974,-1.027403765,0.473026511,-1.813234818,-0.788287534,-0.112586754,-0.451664916,1.149561897,1.413888433,1.350361947,0.702757766,0.365497854,1.735292861,0.347044371,-1.30753677,-0.502864968,-0.780746773,-0.996931597,-0.911176822,0.748071441,-1.964684443,1.022864627,0.216061936,-0.286345629,1.794241463,,1.205915355,1.074832113,1.114837324
VC1287 periplasmic glucans biosynthesis protein MdoH mdoH Cellular processes,1.619807407,-1.117948262,-1.750197028,-0.310634408,0.7907335,-0.931517863,-1.083745317,0.294343836,0.65786381,1.249123039,-1.465193705,0.709737844,-0.142311811,1.43370989,0.511683603,0.413603503,0.735405697,-0.603523431,0.088922478,0.896916042,1.206399751,1.1116665,-0.273474738,1.803950629,-1.807359103,-0.401421436,0.497276048,1.13009535,0.697888557,2.120743286,0.296135778,1.820493351,1.209195172,-1.46843656,-0.481602955,1.201128349,0.619288213,0.778781512,0.094057995,0.257357789,-0.142232148,-1.061619248,-0.037378745,-0.253000321,1.426640846,0.606656545,0.492339272,-0.194378953,-0.982094617,-0.44795048,0.140917864,0.864584791,-1.508650427,-0.861881745,0.092628219,0.078726258,0.770514615,-0.380642826,-0.376548702,-0.524253741,0.07289519,-0.122110116,-0.520941481,-0.365874663,-0.560088423,-0.424037948,0.165487582,0.860403313,1.201395742,-0.946959401,-1.820390036,-1.026127795,-0.497868564,0.517371128,0.012226434,-0.131507637,-1.732052635,-0.895866524,-1.013756455,-0.951913862,1.025465891,0.856935565,-0.957721982,-0.185218076,-0.085535076,-0.735720636,0.575690596,,-0.080984195,0.112806362,1.355676493
VC1288 periplasmic glucans biosynthesis protein MdoG mdoG Cellular processes,1.610752179,-0.928419152,-1.173160903,1.07935343,-0.810008944,0.605686864,-3.917586973,-2.057326744,-1.285115543,-0.874748155,0.41179548,-1.959116027,-1.055190578,-0.738005534,-0.290300434,-0.013205658,0.698205513,1.934208668,1.961670218,-0.991658935,-0.674859923,-0.079139946,-0.242619607,-1.00777817,-1.516408249,0.41943672,0.980164647,0.563131292,0.939011786,1.403893655,1.4846664,2.63140665,0.260860937,3.22067698,-1.310156936,-0.937264879,-0.460421118,1.118496346,-3.205403141,1.113784046,-0.006494053,-4.337844758,-0.226524613,2.125554384,0.298718261,2.139050143,-0.552405008,1.223872352,2.445404235,-2.086156773,1.586285718,-1.438622418,0.025438818,-0.388695566,-1.844393239,-1.007235143,1.489005081,-0.003646578,0.455415511,-0.846154359,-1.08408676,-0.426696305,-0.179481879,2.018589055,1.217805959,1.426290141,0.888153274,-0.674984809,-2.74478271,-0.726490912,-1.037835325,-0.471212136,0.223754131,-2.133250507,-0.797380229,0.636305979,-1.842150329,-0.681992675,-0.627054156,1.537404356,2.111878774,-1.145831731,-0.588508642,0.391229336,0.048913555,1.357180411,-0.415621146,0.059855076,0.413500211,-1.283405112,1.786655125
VC1289 methyl-accepting chemotaxis protein  Cellular processes,-0.67844256,0.416490917,0.735397902,-0.865854637,0.687467349,0.394346038,-0.588428101,-0.077457348,-2.309542699,-1.701987364,0.221149616,0.872604052,-0.076399039,-0.197314859,0.801587084,1.804029068,0.685026151,0.824189481,-0.390426267,0.645448591,0.396071802,1.214186622,-1.323313148,0.428090987,0.718433449,1.193345247,-0.884990442,1.381231367,-0.508741139,1.475495065,-0.175446156,-0.243637558,-1.221721871,0.33259531,-0.194951419,-2.086888044,-0.972091032,1.599978157,-0.823495175,-0.27925573,1.093380831,-1.162748684,0.257210835,-0.193110552,-0.55922633,1.013516993,1.754759625,0.89594498,1.070624131,1.324376302,0.876691661,-0.933472518,1.939007419,0.086467036,0.195664911,0.165743168,0.872339813,-0.978961821,0.638673464,-0.717693367,0.43408069,-1.232609303,-0.31748017,0.115809236,-0.71083328,-0.045585304,0.98601333,0.927654863,-0.373245335,-1.248112879,-0.740521268,-1.079081855,-0.24299328,-0.345048238,0.347280041,-0.388876851,-0.703833823,-1.952839011,-1.30476915,0.308423367,0.106083237,0.840634638,-1.35598827,-1.400565251,-0.406162232,-0.415657173,0.737061337,0.038782788,-0.191447605,-0.327237178,-0.799302218
"VC1290 DNA polymerase III, epsilon subunit, putative  DNA metabolism",1.506721285,0.288096963,1.184798834,-0.919817273,0.894679979,-0.218717236,0.482775168,0.086075102,-0.4316323,0.12586333,-0.168938003,2.263761953,-1.418318357,-0.98982969,0.402721902,0.278512687,1.209250288,1.260707798,-0.321540404,0.432211352,0.476330294,-0.117519924,-1.249161882,0.19860157,-0.082550916,1.211887368,-0.195742637,3.042512132,1.805270028,0.88561166,0.237988546,1.653993341,-1.012209272,0.413930663,-0.799837737,-1.499653547,-0.785615943,1.36648699,-0.225633308,-0.596027651,0.222976139,-0.23323512,1.356437207,0.74089835,-0.282439452,2.007270925,-0.298407268,0.706874787,0.130605097,0.264045023,1.790735549,-0.084161211,0.979635777,-0.990332924,0.448522142,-0.432396157,2.286916721,0.649403065,0.874526475,-0.096182259,-1.674702997,-1.2394468,0.211177418,0.703957403,-0.998237533,-0.548189636,0.626803631,0.79970774,-0.993912431,-1.545663079,-0.540261519,-0.372669211,0.812789482,0.384735295,-0.264114443,-1.315190451,-0.967154367,-1.655040672,-1.12352152,-0.182055349,0.205550317,1.279397764,-2.435524471,2.241336243,-0.171073786,0.439514386,-0.486186065,-0.362193095,1.469391136,1.238979882,0.187185125
VC1291 conserved hypothetical protein  Hypothetical proteins,0.246726867,1.342002792,-0.163699612,0.932240459,-1.064982588,-0.86521688,-2.272914467,-2.591864239,0.660396085,-0.679864311,1.097857782,-2.178615127,-0.164573045,0.15558765,-1.540168355,-0.553792818,-1.396539162,-1.819593235,-1.232674159,0.553558942,-0.290379115,-2.026583915,-0.05281922,-1.148990522,2.34178194,0.281015605,-0.585407652,0.660914135,1.261912605,-1.025300788,-1.359497745,-0.521368077,0.019293404,-0.015720098,0.182279971,-2.157769106,1.586659995,0.281902535,-1.285844253,-0.490366307,1.688404429,-0.284486931,1.71143025,1.422192123,-0.963772374,-0.010131609,-1.540360718,0.439760348,-0.553057382,-0.587238661,-0.35114102,1.132900114,1.12782981,0.770705361,1.454371332,-0.073738053,-0.144090784,0.893347694,-0.307914219,-0.008240029,1.025315723,0.044429736,-0.370086508,1.049894853,0.267113524,0.402667921,-0.435657801,-0.286486092,0.499739122,-1.536107805,1.77661236,0.276027512,1.134925974,-0.185827778,0.270106341,-0.327808188,-0.109842365,1.119170684,0.156839628,1.661752847,1.764224958,0.726970751,-0.20189272,1.070141826,-1.555306796,-1.482295353,0.916202523,,-0.803022443,-0.203913926,0.136229701
VC1293 aspartate aminotransferase aspC Amino acid biosynthesis,-0.193510461,0.387032827,-0.51037715,-0.001209491,-0.045120672,0.488509079,0.569971905,1.058684393,0.093899413,-0.744998262,0.286359704,-1.616753866,1.175250327,1.258507675,-1.723281245,-0.484823836,0.462793046,0.130977411,0.668932443,-1.011547941,-1.065638467,-1.048954367,0.120448502,-0.919218336,-0.966774704,-0.961610491,-1.212321586,1.189165176,-0.049642442,0.272707056,-1.058502921,0.972885691,1.410955394,-1.028670735,-0.845451135,-0.38959693,0.2734994,-0.409532727,-0.749909985,0.644520309,-0.628266898,1.412361794,1.193118244,-1.474093163,0.717148373,-3.046795196,-0.356351727,0.015010317,1.175529874,1.066970742,1.042655035,0.787025091,-0.08584555,-0.860547299,-0.836292789,-0.330323119,-0.214821501,0.149580654,-0.691205107,1.861239273,0.986223875,-0.660533155,-1.613883391,-1.145105759,1.240638906,0.486437821,1.581377852,1.2790035,1.294231257,0.264908522,-0.594159354,0.865848289,0.091487435,0.371965471,0.342560586,0.406100191,0.214111163,0.222223132,0.862065646,0.77689644,0.630862027,0.049473717,1.190808705,0.59672951,-0.694353981,-0.372246542,-1.013424133,-0.225395842,-0.241046879,-0.979865882,-0.032818408
VC1294 hypothetical protein  ,-0.609629768,-0.746312338,-0.171931402,-0.631797159,0.201620578,-0.748609054,-0.831292935,-0.310605964,-0.222053284,0.210247072,-0.263901639,-0.005355836,-0.748143784,-0.46866038,0.24552764,0.971245298,1.241423158,1.328746902,-0.209761247,0.967953407,1.314879674,0.035272196,0.633001833,-0.3902829,-0.842516166,-0.123063896,-0.032975671,2.629751332,1.657328748,1.423201265,1.450731738,0.854650807,-0.448414131,1.383766212,-0.471541671,-1.294065262,0.168472889,-0.204800148,-0.236049371,-0.327204487,-0.605028411,-0.721291614,-0.274677396,-0.677320232,-0.623454314,1.208244856,-0.610628888,0.915639213,-0.000877631,-0.416691301,0.449691138,0.376035672,-0.34660552,0.562968293,-0.000888976,-0.927078535,1.709991768,0.463925857,0.664877985,-0.65055267,-1.129580885,-0.60906269,-1.508981054,-0.024104047,0.205685063,0.389286572,1.090499256,1.205432106,0.287261457,-0.547382687,-2.16299141,-0.851436068,1.120873855,-2.619710461,0.447478921,0.522698975,-0.272669635,0.054088969,0.402937637,-0.082879438,1.971541578,0.880716092,-0.606186146,0.769121158,-0.059325638,-0.951350365,0.324098104,,0.780422786,1.684328995,-0.258912732
"VC1295 membrane protein, putative  Cell envelope",0.467563387,-0.144245487,0.637765886,0.209966864,2.317905942,0.167863083,0.182198395,-0.460085678,0.00265334,-0.520370488,0.704290102,1.98483002,0.207229966,-0.288865734,1.263230407,-0.44859135,1.589522047,0.720580521,0.572412252,0.22075705,0.96930214,-0.585290258,1.893200774,0.71106815,-0.244590879,0.465297822,0.191990911,0.670075609,0.157791126,0.857882902,0.850466657,-0.536181924,-0.918782535,-0.952552172,-0.052471474,-0.812272242,0.519400101,-0.508456513,0.483203889,-0.203413878,-0.880107758,-0.578653064,-0.811879021,1.930288486,-15.08371617,-11.36168467,-11.74271603,-9.914208602,-0.678191971,-0.801768132,-1.476830599,-0.851665863,-0.745599305,0.611875558,-0.132027349,1.3321551,1.331369355,-0.017623911,0.445842121,0.195655982,-1.124462727,0.875033911,1.243783239,0.746797823,0.440647709,-0.044226196,0.702629262,0.503540246,0.054632151,-0.018443423,-0.556130236,-0.202320446,1.11620519,0.431503504,0.119410345,0.901278821,-0.658792063,0.497956227,-0.228624095,-0.48899836,0.718749709,0.649607245,-0.710313675,0.752073733,-0.192752338,-0.46501986,-1.283912736,,0.450930789,0.307539142,0.177910674
"VC1296 phosphomethylpyrimidine kinase thiD Biosynthesis of cofactors, prosthetic groups, and carriers",-1.391509644,1.529700067,-1.152679085,0.020995428,-3.042558443,-0.520134108,0.705387063,0.201617343,0.382414265,0.224972568,-0.084081513,0.13240991,-0.306731338,0.239793408,-1.503204325,-0.711670353,-0.085809246,0.065141386,1.098272834,-1.508814624,-1.057853934,-0.139964858,-1.483980597,-0.383155112,0.956219862,1.502362181,0.745944518,-0.539917192,0.413899758,-1.357625532,0.353910873,-1.625252256,-1.026023528,2.034357093,-0.204901664,-0.164754977,0.014244373,0.405970541,0.334537999,1.19434112,-0.373496109,0.172679365,-0.199557024,1.487877085,2.134316046,1.717564421,1.839309923,2.113190359,0.015820732,1.150388483,-0.306988938,-0.797775602,0.548902785,-0.175869233,-1.234963738,-0.261159189,0.417308378,-1.602189998,-0.059729158,0.241012379,1.481188093,0.995517706,-0.186058833,-0.143742308,-0.04190308,-0.431484336,-0.918994852,-1.146096944,-0.552465326,-0.912400902,0.462829237,1.350214687,-0.95581166,0.067399754,-1.010751115,-0.032251698,-0.591402245,1.302149937,-1.102046709,1.628228311,-0.059608541,-1.761278212,1.09005072,1.737283159,0.31067249,-0.062094538,-0.842774493,,2.135706518,-1.582237578,-1.54183099
VC1298 methyl-accepting chemotaxis protein  Cellular processes,-0.660551164,-0.913214415,-0.24479589,-0.604591374,-0.469935593,0.049760476,1.534813206,1.53967061,0.416888296,0.131989114,0.309576552,0.91682412,-0.903670254,0.086262958,-0.198887261,0.789619866,2.282829195,1.832967563,-0.043432095,0.368642412,-0.081880283,-0.44577713,-0.025198748,-0.736407549,-0.072568625,-0.764824977,-0.404289733,2.675989545,0.910672288,0.78092329,1.235188976,-0.253690916,-0.191891476,0.48758937,0.229206683,-0.94640696,-0.749598189,0.059254699,-0.7706912,-0.786332832,-0.578558188,0.804188332,-0.096808567,-0.613596617,-0.678298824,1.316242077,-1.290080935,0.564794824,-0.688482971,0.671428706,0.159007504,1.053732313,-0.655463563,0.812692648,0.891543703,-1.183241356,0.698512102,-0.040677799,0.125550176,-0.672787853,0.210688646,-0.505406753,-1.435770133,-0.169566152,0.982966368,0.069191735,0.949439605,0.924321604,-0.0515794,0.12886821,-0.646747981,0.253688613,0.504056545,-0.165423698,1.142618273,0.192000597,0.699800307,-0.609273905,0.555514629,-0.232304268,1.757214287,0.240530149,0.209490392,-1.071308581,-1.026218891,-2.124644172,-0.110564558,,-0.32242715,1.671691631,-0.032351817
VC1300 L-serine dehydratase 1 sdaA-1 Energy metabolism,-2.128315337,0.232199935,-0.796219036,-0.518550179,-1.261600214,1.268181869,0.684235484,1.355783904,-1.437656512,-0.939814865,0.053066657,1.236048343,-0.301682479,-1.044290313,0.658861122,1.165151916,-0.010769746,0.982819375,0.770670269,-0.835928193,-1.739321088,0.687992889,-1.181720559,-1.576140161,-0.207221203,0.580794261,0.55857603,1.306053293,1.00046431,0.121410065,-0.631327541,-0.120417983,-0.069098748,1.138587548,-0.17007835,-0.569159225,-1.196571981,0.903399004,-1.572682597,-0.321600706,1.532301179,0.812252826,1.41009543,0.417336248,-1.065233635,0.164174776,-0.247279384,1.210810121,1.331064454,0.867992264,2.204229045,1.881680597,1.254948459,-0.460524513,0.252147993,-0.645715358,-0.187934025,0.569537461,1.167730318,-1.744071277,-1.509452307,0.324611623,-0.060673812,-0.071720478,-2.59847602,-1.800809418,0.366576058,-1.984420117,-1.10319535,-2.732466192,0.783111733,1.211409123,0.590997434,0.562072753,-1.212717047,-0.81701756,0.216616468,-0.851997581,-1.153614117,1.052373872,0.222130356,-0.680070864,-1.517420013,-0.661230764,2.251682232,1.686472494,-0.423362891,1.186124204,1.148303782,0.056541651,-3.642355987
VC1301 serine transporter sdaC-1 Transport and binding proteins,1.225864186,1.228735961,1.23554514,1.39150495,-0.025461487,0.894228804,0.237615266,-0.844739476,-1.15949739,-1.020491168,0.648162552,0.306491476,-1.11876143,-1.672284276,-0.438154108,-0.396992983,0.37673195,2.299260727,0.301082469,-1.064847719,0.36638575,-1.632906891,-1.081113176,-0.376893163,0.337038586,0.334776965,0.253819269,0.921964295,1.068969299,-0.066012922,0.955404982,1.394887273,-1.494536362,-0.105739778,-0.675587049,-1.922967435,0.425606691,1.339107735,0.242940237,0.248942196,0.457851096,0.575327712,0.655340025,0.877069894,-0.757088368,0.787466223,-0.592915138,0.240257699,0.049011498,-0.828883171,0.303594002,0.117010027,0.041016009,1.696243646,0.813750415,0.594985556,-0.500775891,-1.209735183,-0.101759135,0.071460393,0.174358731,-0.64302293,-0.251705837,-1.912310375,0.061865651,1.816311792,0.637307506,0.35403334,-0.780705977,0.755988774,1.030471954,1.01342823,0.23462514,-0.93680426,-0.757671883,-2.33586396,0.113429175,0.880284829,-0.972497355,-1.007294948,-0.494515672,-0.195179883,-0.529373405,-0.614076942,0.900291784,1.798333331,-0.39276228,,-1.553089315,1.298547582,-0.437593396
